Start_Date,Location,Pollutant,AQI_Value,AQI_Category,Year
2014-12-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),23.97,Good,2014
2014-12-01 00:00:00+00:00,Upper West Side (CD7),Nitrogen dioxide (NO2),27.42,Good,2014
2017-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),12.55,Good,2017
2015-12-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),22.63,Good,2015
2016-06-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),14.0,Good,2016
2015-12-01 00:00:00+00:00,Upper West Side (CD7),Nitrogen dioxide (NO2),26.43,Good,2015
2016-06-01 00:00:00+00:00,Upper West Side (CD7),Nitrogen dioxide (NO2),19.1,Good,2016
2018-01-01 00:00:00+00:00,Flatbush and Midwood (CD14),Nitrogen dioxide (NO2),17.28,Good,2018
2015-12-31 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),18.2,Good,2015
2021-12-01 00:00:00+00:00,Upper West Side (CD7),Nitrogen dioxide (NO2),22.07527023,Good,2021
2021-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),11.33729397,Good,2021
2009-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),8.44,Good,2009
2010-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),20.26,Good,2010
2012-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),12.54,Good,2012
2014-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),20.58,Good,2014
2021-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),4.850858294,Good,2021
2018-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),10.41,Good,2018
2021-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),15.70203388,Good,2021
2012-12-01 00:00:00+00:00,Sunset Park (CD7),Fine particles (PM 2.5),9.18,Good,2012
2015-12-01 00:00:00+00:00,Upper West Side (CD7),Fine particles (PM 2.5),8.85,Good,2015
2020-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),6.33109299,Good,2020
2010-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),10.74,Good,2010
2011-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),10.59,Good,2011
2012-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),8.11,Good,2012
2013-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),7.88,Good,2013
2013-12-01 00:00:00+00:00,Sunset Park (CD7),Nitrogen dioxide (NO2),27.81,Good,2013
2019-01-01 00:00:00+00:00,Sunset Park (CD7),Nitrogen dioxide (NO2),18.52,Good,2019
2017-12-01 00:00:00+00:00,Flatbush and Midwood (CD14),Nitrogen dioxide (NO2),23.47,Good,2017
2019-01-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),16.27,Good,2019
2022-01-01 00:00:00+00:00,Upper West Side (CD7),Nitrogen dioxide (NO2),18.1703003,Good,2022
2017-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),14.31,Good,2017
2019-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),9.94,Good,2019
2022-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),11.36047467,Good,2022
2008-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),20.89,Good,2008
2013-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),22.58,Good,2013
2015-12-31 00:00:00+00:00,Kingsbridge Heights and Bedford (CD7),Fine particles (PM 2.5),7.78,Good,2015
2013-06-01 00:00:00+00:00,Sunset Park (CD7),Fine particles (PM 2.5),10.7,Good,2013
2012-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),7.61,Good,2012
2021-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),5.918832207,Good,2021
2017-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),6.32,Good,2017
2010-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),10.28,Good,2010
2009-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),9.6,Good,2009
2019-06-01 00:00:00+00:00,Sunset Park (CD7),Nitrogen dioxide (NO2),16.22,Good,2019
2015-06-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),14.4,Good,2015
2019-12-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),22.99,Good,2019
2021-12-01 00:00:00+00:00,Upper West Side (CD7),Fine particles (PM 2.5),6.790552345,Good,2021
2018-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),6.06,Good,2018
2021-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),7.248801127,Good,2021
2021-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),5.964648061,Good,2021
2013-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),9.44,Good,2013
2012-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),9.41,Good,2012
2015-12-31 00:00:00+00:00,Flushing and Whitestone (CD7),Fine particles (PM 2.5),7.26,Good,2015
2019-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),17.49,Good,2019
2019-06-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),7.22,Good,2019
2023-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),9.361544124,Good,2023
2022-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),11.87774283,Good,2022
2009-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Nitrogen dioxide (NO2),13.95,Good,2009
2011-12-01 00:00:00+00:00,Williamsburg - Bushwick,Nitrogen dioxide (NO2),23.43,Good,2011
2011-12-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),12.47,Good,2011
2022-06-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),6.854871982,Good,2022
2020-12-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),19.77780206,Good,2020
2013-12-01 00:00:00+00:00,Sunset Park (CD7),Fine particles (PM 2.5),12.62,Good,2013
2022-01-01 00:00:00+00:00,Upper West Side (CD7),Fine particles (PM 2.5),6.101604201,Good,2022
2013-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),9.87,Good,2013
2017-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),7.0,Good,2017
2019-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),5.59,Good,2019
2022-01-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),5.024423733,Good,2022
2020-06-01 00:00:00+00:00,Flushing and Whitestone (CD7),Nitrogen dioxide (NO2),11.06,Good,2020
2009-06-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),16.05,Good,2009
2014-12-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),22.67,Good,2014
2017-01-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),17.2,Good,2017
2021-01-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),14.30918095,Good,2021
2009-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),17.8,Good,2009
2012-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),17.46,Good,2012
2010-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),27.47,Good,2010
2014-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),23.0,Good,2014
2015-12-01 00:00:00+00:00,Bayside - Little Neck,Nitrogen dioxide (NO2),20.9,Good,2015
2016-06-01 00:00:00+00:00,Bayside - Little Neck,Nitrogen dioxide (NO2),12.73,Good,2016
2012-06-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),14.32,Good,2012
2013-06-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),14.59,Good,2013
2018-01-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),16.22,Good,2018
2021-12-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),18.59771003,Good,2021
2018-01-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),16.4,Good,2018
2021-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),19.88914473,Good,2021
2012-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),15.41,Good,2012
2013-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),15.0,Good,2013
2015-12-31 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),17.1,Good,2015
2021-06-01 00:00:00+00:00,Bayside - Little Neck,Nitrogen dioxide (NO2),9.969849112,Good,2021
2015-12-31 00:00:00+00:00,Pelham - Throgs Neck,Nitrogen dioxide (NO2),17.92,Good,2015
2012-06-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),8.15,Good,2012
2017-01-01 00:00:00+00:00,Sheepshead Bay (CD15),Nitrogen dioxide (NO2),16.39,Good,2017
2011-06-01 00:00:00+00:00,Coney Island (CD13),Nitrogen dioxide (NO2),12.93,Good,2011
2021-12-01 00:00:00+00:00,Sheepshead Bay (CD15),Nitrogen dioxide (NO2),19.05259378,Good,2021
2017-01-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),16.49,Good,2017
2021-01-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),14.62480522,Good,2021
2018-01-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),16.26,Good,2018
2021-06-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),10.40210304,Good,2021
2017-01-01 00:00:00+00:00,Sheepshead Bay (CD15),Fine particles (PM 2.5),6.85,Good,2017
2016-06-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),7.08,Good,2016
2020-12-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.621152709,Good,2020
2021-12-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),18.77722805,Good,2021
2017-12-01 00:00:00+00:00,Sheepshead Bay (CD15),Nitrogen dioxide (NO2),19.88,Good,2017
2022-01-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),14.27800685,Good,2022
2019-01-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),14.55,Good,2019
2017-12-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),21.61,Good,2017
2014-12-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),8.23,Good,2014
2017-01-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.77,Good,2017
2021-01-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.338519067,Good,2021
2022-12-01 00:00:00+00:00,Coney Island (CD13),Nitrogen dioxide (NO2),18.02621754,Good,2022
2023-01-01 00:00:00+00:00,Coney Island (CD13),Nitrogen dioxide (NO2),13.49860962,Good,2023
2015-12-31 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.53,Good,2015
2018-01-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.44,Good,2018
2021-12-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.442329619,Good,2021
2021-06-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),7.801814418,Good,2021
2015-06-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),12.07,Good,2015
2019-06-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),13.03,Good,2019
2019-12-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),20.17,Good,2019
2022-12-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),17.795487,Good,2022
2023-01-01 00:00:00+00:00,Queens Village (CD13),Nitrogen dioxide (NO2),14.84317832,Good,2023
2010-06-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),22.13,Good,2010
2020-12-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),20.87859767,Good,2020
2019-01-01 00:00:00+00:00,Coney Island (CD13),Fine particles (PM 2.5),5.98,Good,2019
2019-01-01 00:00:00+00:00,Sheepshead Bay (CD15),Fine particles (PM 2.5),6.07,Good,2019
2013-06-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),7.62,Good,2013
2008-12-01 00:00:00+00:00,Rockaway and Broad Channel (CD14),Fine particles (PM 2.5),10.19,Good,2008
2019-06-01 00:00:00+00:00,Sunset Park (CD7),Fine particles (PM 2.5),8.9,Good,2019
2011-12-01 00:00:00+00:00,East New York,Fine particles (PM 2.5),8.94,Good,2011
2011-12-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),9.7,Good,2011
2011-12-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),8.55,Good,2011
2011-12-01 00:00:00+00:00,South Beach - Tottenville,Fine particles (PM 2.5),8.28,Good,2011
2015-01-01 00:00:00+00:00,Williamsburg - Bushwick,Boiler Emissions- Total SO2 Emissions,0.3,Good,2015
2010-12-01 00:00:00+00:00,East New York,Fine particles (PM 2.5),11.75,Good,2010
2009-06-01 00:00:00+00:00,East New York,Fine particles (PM 2.5),10.08,Good,2009
2010-12-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),14.57,Good,2010
2009-06-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),12.74,Good,2009
2012-12-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),9.36,Good,2012
2017-01-01 00:00:00+00:00,Upper West Side,Fine particles (PM 2.5),8.33,Good,2017
2009-06-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),9.87,Good,2009
2012-12-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),8.08,Good,2012
2021-01-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),6.290971464,Good,2021
2020-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),6.407498086,Good,2020
2010-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),11.31,Good,2010
2011-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),11.04,Good,2011
2016-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),7.47,Good,2016
2015-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),7.43,Good,2015
2023-01-01 00:00:00+00:00,Flatbush and Midwood (CD14),Fine particles (PM 2.5),6.529592865,Good,2023
2015-01-01 00:00:00+00:00,Flushing and Whitestone (CD7),Fine particles (PM 2.5),8.48,Good,2015
2014-06-01 00:00:00+00:00,Sunset Park (CD7),Fine particles (PM 2.5),9.55,Good,2014
2018-12-01 00:00:00+00:00,Sunset Park (CD7),Fine particles (PM 2.5),8.02,Good,2018
2013-01-01 00:00:00+00:00,Bayside - Little Neck,Boiler Emissions- Total SO2 Emissions,1.6,Good,2013
2012-12-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),11.51,Good,2012
2010-12-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),20.56,Good,2010
2009-06-01 00:00:00+00:00,South Beach - Tottenville,Nitrogen dioxide (NO2),10.8,Good,2009
2011-06-01 00:00:00+00:00,East New York,Fine particles (PM 2.5),10.9,Good,2011
2022-01-01 00:00:00+00:00,Sheepshead Bay (CD15),Fine particles (PM 2.5),5.389991444,Good,2022
2017-12-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),7.47,Good,2017
2011-12-01 00:00:00+00:00,Coney Island (CD13),Nitrogen dioxide (NO2),18.16,Good,2011
2017-06-01 00:00:00+00:00,Sheepshead Bay (CD15),Nitrogen dioxide (NO2),10.99,Good,2017
2009-06-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),24.57,Good,2009
2014-12-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),23.94,Good,2014
2021-01-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),15.2992962,Good,2021
2021-01-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),18.11753712,Good,2021
2019-01-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),6.03,Good,2019
2022-01-01 00:00:00+00:00,Queens Village (CD13),Fine particles (PM 2.5),5.441903521,Good,2022
2020-12-01 00:00:00+00:00,Borough Park,Fine particles (PM 2.5),6.651149578,Good,2020
2011-06-01 00:00:00+00:00,Long Island City - Astoria,Fine particles (PM 2.5),12.33,Good,2011
2020-12-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),6.690577085,Good,2020
2022-12-01 00:00:00+00:00,Coney Island (CD13),Fine particles (PM 2.5),5.764514434,Good,2022
2019-12-01 00:00:00+00:00,Sheepshead Bay (CD15),Fine particles (PM 2.5),6.97,Good,2019
2022-12-01 00:00:00+00:00,Sheepshead Bay (CD15),Fine particles (PM 2.5),5.783695731,Good,2022
2018-06-01 00:00:00+00:00,Coney Island (CD13),Fine particles (PM 2.5),7.83,Good,2018
2017-06-01 00:00:00+00:00,Sheepshead Bay (CD15),Fine particles (PM 2.5),8.25,Good,2017
2020-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),6.835494527,Good,2020
2010-12-01 00:00:00+00:00,Long Island City - Astoria,Fine particles (PM 2.5),13.64,Good,2010
2012-12-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),18.96,Good,2012
2021-06-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),14.46094161,Good,2021
2021-12-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),22.85584381,Good,2021
2013-06-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),16.57,Good,2013
2015-12-31 00:00:00+00:00,Borough Park,Fine particles (PM 2.5),7.45,Good,2015
2021-06-01 00:00:00+00:00,Borough Park,Fine particles (PM 2.5),8.338108221,Good,2021
2012-06-01 00:00:00+00:00,Long Island City - Astoria,Fine particles (PM 2.5),11.18,Good,2012
2013-06-01 00:00:00+00:00,Long Island City - Astoria,Fine particles (PM 2.5),11.07,Good,2013
2017-12-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),23.83,Good,2017
2022-01-01 00:00:00+00:00,South Bronx,Nitrogen dioxide (NO2),17.25017525,Good,2022
2017-12-01 00:00:00+00:00,Long Island City - Astoria,Nitrogen dioxide (NO2),27.14,Good,2017
2019-01-01 00:00:00+00:00,Long Island City - Astoria,Nitrogen dioxide (NO2),20.24,Good,2019
2013-12-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),26.89,Good,2013
2019-01-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),15.51,Good,2019
2022-01-01 00:00:00+00:00,Jamaica,Nitrogen dioxide (NO2),14.86027012,Good,2022
2010-06-01 00:00:00+00:00,East New York,Fine particles (PM 2.5),11.26,Good,2010
2011-06-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),13.48,Good,2011
2015-12-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),7.37,Good,2015
2016-06-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),7.38,Good,2016
2020-12-01 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),6.409598292,Good,2020
2013-06-01 00:00:00+00:00,Sunset Park,Fine particles (PM 2.5),10.62,Good,2013
2018-01-01 00:00:00+00:00,Sunset Park,Fine particles (PM 2.5),7.72,Good,2018
2010-06-01 00:00:00+00:00,South Beach - Tottenville,Fine particles (PM 2.5),11.25,Good,2010
2008-12-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),25.88,Good,2008
2017-12-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),21.61,Good,2017
2022-01-01 00:00:00+00:00,Southeast Queens,Nitrogen dioxide (NO2),14.11301581,Good,2022
2019-01-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),14.65,Good,2019
2022-01-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),14.84032198,Good,2022
2008-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),26.5,Good,2008
2013-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Nitrogen dioxide (NO2),25.9,Good,2013
2013-06-01 00:00:00+00:00,East New York,Fine particles (PM 2.5),9.68,Good,2013
2012-06-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),12.31,Good,2012
2013-06-01 00:00:00+00:00,Williamsburg - Bushwick,Fine particles (PM 2.5),12.2,Good,2013
2015-12-31 00:00:00+00:00,Bayside - Little Neck,Fine particles (PM 2.5),6.88,Good,2015
2014-12-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),8.23,Good,2014
2009-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),9.96,Good,2009
2010-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),12.13,Good,2010
2012-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),8.13,Good,2012
2021-01-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),6.22951803,Good,2021
2010-12-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),11.44,Good,2010
2012-12-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),7.85,Good,2012
2009-06-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),9.65,Good,2009
2017-01-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),6.75,Good,2017
2021-06-01 00:00:00+00:00,Southeast Queens,Fine particles (PM 2.5),7.692537752,Good,2021
2021-12-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),6.593739371,Good,2021
2013-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),9.95,Good,2013
2012-06-01 00:00:00+00:00,Bayside Little Neck-Fresh Meadows,Fine particles (PM 2.5),9.87,Good,2012
2014-12-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),8.63,Good,2014
2021-01-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),6.429053208,Good,2021
2021-01-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),6.826255998,Good,2021
2010-12-01 00:00:00+00:00,Jamaica,Fine particles (PM 2.5),11.87,Good,2010
2009-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),11.35,Good,2009
2010-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),14.54,Good,2010
2012-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),9.7,Good,2012
2014-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),10.57,Good,2014
2017-01-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),8.2,Good,2017
2021-12-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),7.246660099,Good,2021
2021-06-01 00:00:00+00:00,South Bronx,Fine particles (PM 2.5),8.792481229,Good,2021
